hotel_name,rating,rating_description,review_count,star_rating,location,nearest_landmark,Distance_to_Landmark,Distance_to_Landmark(in_km),price_per_night,tax,city,state
"Howard Johnson by Wyndham, Kolkata Airport",3.9,Very Good,1150,4,Chinar Park ,Netaji Subhash Chandra Bose International Airport,3.6 km ,3.6,2500,,Kolkata,West Bengal
Park Prime Kolkata,3.8,Very Good,2036,3,Ballygunge,,,,3652,1006,Kolkata,West Bengal
Joey's Nest,4.7,Excellent,54,,Salt Lake City ,Netaji Subhash Chandra Bose International Airport,9.5 km ,9.5,2245,583,Kolkata,West Bengal
Hotel Hindusthan International,3.6,Very Good,1907,5,Bhowanipore,,,,4134,978,Kolkata,West Bengal
Hotel Niharika,4.1,Very Good,1551,3,Elgin,,,,2790,570,Kolkata,West Bengal
Vedic Village Spa Resort,4,Very Good,3761,4,Vedic Village,,,,3688,944,Kolkata,West Bengal
Park Palace Hotel,3.6,Very Good,1471,3,Ballygunge,,,,1350,431,Kolkata,West Bengal
Offbeat CCU Bunkers,4.3,Excellent,92,,Topsia,,,,944,205,Kolkata,West Bengal
Monotel Luxury Business Hotel,3.9,Very Good,1744,4,Salt Lake City,,,,3523,855,Kolkata,West Bengal
AIRPORT CITY HOTEL,3.9,Very Good,1658,4,Birati ,Netaji Subhash Chandra Bose International Airport,2.0 km ,2,2994,767,Kolkata,West Bengal
The Lindsay,3.5,Very Good,1990,3,New Market Area ,Park Street,870 m ,0.87,2907,710,Kolkata,West Bengal
RituIvy,4,Very Good,547,3,East Kolkata Township,,,,2132,588,Kolkata,West Bengal
Hotel O2 Oxygen,3.8,Very Good,826,4,Near Kolkata Airport ,Netaji Subhash Chandra Bose International Airport,2.1 km ,2.1,2856,583,Kolkata,West Bengal
VISITEL - A BOUTIQUE HOTEL,3.8,Very Good,1058,3,Kankurgachi,,,,1991,590,Kolkata,West Bengal
IndiSmart Hotel,3.9,Very Good,277,3,Salt Lake City,,,,1999,515,Kolkata,West Bengal
LYNQ AERO,4,Very Good,461,3,Salt Lake City,,,,3242,767,Kolkata,West Bengal
"Park Guest House, Kolkata",3.7,Very Good,19,,Park Street ,Park Street,140 m ,0.14,1045,315,Kolkata,West Bengal
Regenta Inn Larica,3.6,Very Good,1448,3,Chinar Park ,Netaji Subhash Chandra Bose International Airport,4.1 km ,4.1,2713,419,Kolkata,West Bengal
Golden Tulip Kolkata,4.1,Very Good,1538,4,Salt Lake City,,,,3772,770,Kolkata,West Bengal
The Senator,4.3,Excellent,1016,3,Elgin,,,,2511,513,Kolkata,West Bengal
Gallery 67,4.2,Very Good,832,3,Ghose Bagan ,Netaji Subhash Chandra Bose International Airport,9.4 km ,9.4,2536,737,Kolkata,West Bengal
CHOWDHURY'S ESTATES,3.5,Very Good,24,,Elgin,,,,1935,480,Kolkata,West Bengal
Pipal Tree Hotel,4,Very Good,2274,4,Chinar Park ,Netaji Subhash Chandra Bose International Airport,4.2 km ,4.2,3579,846,Kolkata,West Bengal
Stayotel,4,Very Good,606,3,Dum Dum ,Netaji Subhash Chandra Bose International Airport,1.5 km ,1.5,2365,672,Kolkata,West Bengal
"Raajkutir, Kolkata - IHCL SeleQtions",4.6,Excellent,576,5,Kankurgachi ,Salt Lake Stadium,810 m ,0.81,5350,,Kolkata,West Bengal
The Sonnet,4.1,Very Good,844,4,Salt Lake City,,,,4937,1233,Kolkata,West Bengal
"Krishna Kunja | Rooms & Caretaker
Like a 3",4.6,Excellent,99,,South Dum Dum ,Netaji Subhash Chandra Bose International Airport,5.1 km ,5.1,1440,418,Kolkata,West Bengal
Aristocrat Hotel,3.7,Very Good,262,4,New Town,,,,1966,409,Kolkata,West Bengal
The Fern Residency Kolkata,3.8,Very Good,1051,3,Chinar Park ,Netaji Subhash Chandra Bose International Airport,4.2 km ,4.2,2462,582,Kolkata,West Bengal
Sapphire Suites,3.8,Very Good,776,3,New Market Area ,Park Street,780 m ,0.78,3089,631,Kolkata,West Bengal
Victoria Hotel,4,Very Good,862,3,Chinar Park ,Netaji Subhash Chandra Bose International Airport,4.0 km ,4,2388,720,Kolkata,West Bengal
The Pearl Hotel,3.3,Good,608,3,Beliaghata ,Salt Lake Stadium,840 m ,0.84,1517,484,Kolkata,West Bengal
The Astor,4.2,Very Good,933,4,Park Street Area,,,,4502,920,Kolkata,West Bengal
Barsana Boutique Hotel (Pure vegetarian),4.2,Very Good,296,3,Tangra,,,,3767,770,Kolkata,West Bengal
THE MAUREEN KOLKATA,4,Very Good,1441,3,Baguiati ,Netaji Subhash Chandra Bose International Airport,4.7 km ,4.7,3188,671,Kolkata,West Bengal
The Aster Penthouse,4.2,Very Good,12,,Ballygunge ,Park Street,960 m ,0.96,1766,532,Kolkata,West Bengal
The Firangipani Suites,4,Very Good,106,3,New Town,,,,1980,484,Kolkata,West Bengal
Celesta,4.1,Very Good,1087,3,Baguiati ,Netaji Subhash Chandra Bose International Airport,5.8 km ,5.8,3085,842,Kolkata,West Bengal
HOTEL EASTERN PLAZA,3.3,Good,1312,3,Kaikhali ,Netaji Subhash Chandra Bose International Airport,4.1 km ,4.1,1192,331,Kolkata,West Bengal
Hotel Aura,3.6,Very Good,432,3,New Market Area,,,,2106,599,Kolkata,West Bengal
Viceroy Kolkata (Boutique Hotel),3.8,Very Good,1077,3,Chinar Park ,Netaji Subhash Chandra Bose International Airport,3.8 km ,3.8,2562,523,Kolkata,West Bengal
Beyzaa Hotel & Suites (Brewery Hotel),4.2,Very Good,593,4,Salt Lake City,,,,4589,551,Kolkata,West Bengal
The CORPORATE,3.4,Good,577,3,Park Street ,Park Street,130 m ,0.13,3086,867,Kolkata,West Bengal
Hotel Trimoorti,3.6,Very Good,1375,3,Bhowanipore,,,,1488,476,Kolkata,West Bengal
Bubble Beds,3.9,Very Good,376,,Kalighat ,Kalighat Kali Temple,960 m ,0.96,597,161,Kolkata,West Bengal
The Opus Kolkata - A Boutique Hotel,3.9,Very Good,376,3,Bhowanipore,,,,2372,485,Kolkata,West Bengal
Hotel Crest Inn,3.7,Very Good,975,,Park Circus,,,,1260,382,Kolkata,West Bengal
Golden Parkk,3.6,Very Good,219,3,Park Street Area ,Park Street,960 m ,0.96,3767,770,Kolkata,West Bengal
Hotel The Crest,3.8,Very Good,324,,Park Circus,,,,1328,384,Kolkata,West Bengal
Park Victoria Hotel,3.4,Good,383,,New Market Area ,Park Street,250 m ,0.25,1507,308,Kolkata,West Bengal
The Samilton,4,Very Good,777,3,Bhowanipore,,,,3499,420,Kolkata,West Bengal
Treebo Trend Orion Sapphire Beck Bagan,3.8,Very Good,127,,Park Street ,Park Street,770 m ,0.77,2540,530,Kolkata,West Bengal
Eennra Oiitijhyya,4.4,Excellent,142,3,Keyatala,,,,1994,567,Kolkata,West Bengal
"The Aster Heritage Homestay | Rooms & Caretaker
Like a 3",4.3,Excellent,115,,New Market Area ,Park Street,60 m ,0.06,2452,660,Kolkata,West Bengal
Basera Guest House,4.1,Very Good,635,,Gariahat,,,,1000,289,Kolkata,West Bengal
LYNQ-CICO - Hotel,3.8,Very Good,634,3,Alipore,,,,2372,576,Kolkata,West Bengal
The Lake Hotel,3.7,Very Good,396,3,Dhakuria,,,,1986,528,Kolkata,West Bengal
"The Aster Heritage Gold
Like a 3",4.4,Excellent,17,,New Market Area ,Park Street,50 m ,0.05,4723,1320,Kolkata,West Bengal
Treebo Tryst Tahoora International Park Street,3.7,Very Good,70,3,Park Street ,Park Street,100 m ,0.1,3257,680,Kolkata,West Bengal
Southern Plaza,3.8,Very Good,276,3,Kalighat,,,,3201,674,Kolkata,West Bengal
DIAMOND PLAZA,3.8,Very Good,736,,Bow Bazaar ,College Street,800 m ,0.8,1850,438,Kolkata,West Bengal
Lytton Hotel,3.6,Very Good,431,3,New Market Area ,Park Street,560 m ,0.56,3004,711,Kolkata,West Bengal
"Dorota House | Room & Caretaker
Like a 3",4,Very Good,73,,Salt Lake City,,,,1365,412,Kolkata,West Bengal
Hotel O2 VIP,3.9,Very Good,356,3,Near Kolkata Airport ,Netaji Subhash Chandra Bose International Airport,2.0 km ,2,2212,481,Kolkata,West Bengal
Hotel Gateway Continental,3.8,Very Good,600,3,Dum Dum ,Netaji Subhash Chandra Bose International Airport,1.3 km ,1.3,2800,737,Kolkata,West Bengal
Hotel Air View,4,Very Good,539,,Dum Dum ,Netaji Subhash Chandra Bose International Airport,1.8 km ,1.8,1078,255,Kolkata,West Bengal
Hotel Casa Fortuna,3.9,Very Good,693,3,Park Street Area,,,,3934,950,Kolkata,West Bengal
Middleton Inn,3.5,Very Good,264,3,Park Street ,Park Street,710 m ,0.71,2590,545,Kolkata,West Bengal
Hotel Sawood International,3.6,Very Good,687,3,Tangra,,,,2122,560,Kolkata,West Bengal
The Orchid Hotel Mumbai Vile Parle,4,Very Good,5593,5,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,930 m ,0.93,6499,780,Mumbai,Maharashtra
Trident Bandra Kurla,4.6,Excellent,4987,5,Bandra Kurla Complex ,T1 - Chhatrapati Shivaji International Airport,7.8 km ,7.8,8750,,Mumbai,Maharashtra
ITC Grand Central - A Luxury Collection Hotel,4.5,Excellent,2445,5,South Mumbai ,Cooper hospital,620 m ,0.62,14000,,Mumbai,Maharashtra
IRA By Orchid Mumbai ( VITS Mumbai),3.9,Very Good,4707,4,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.3 km ,2.3,5099,612,Mumbai,Maharashtra
Trident Nariman Point,4.6,Excellent,5563,5,Marine Drive ,Queen's Necklace - Marine Drive,470 m ,0.47,11250,,Mumbai,Maharashtra
The Lalit Mumbai,4.1,Very Good,6468,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.3 km ,1.3,11160,3000,Mumbai,Maharashtra
"Ginger Mumbai, Andheri East",3.7,Very Good,5340,4,Andheri East ,T1 - Chhatrapati Shivaji International Airport,3.3 km ,3.3,3679,,Mumbai,Maharashtra
"Taj Santacruz, Mumbai",4.6,Excellent,4563,5,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,560 m ,0.56,9000,,Mumbai,Maharashtra
Hotel Surya Prakash,3.9,Very Good,121,3,Chembur,,,,3939,968,Mumbai,Maharashtra
Hilton Mumbai International Airport,4.2,Very Good,1686,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.6 km ,1.6,9100,,Mumbai,Maharashtra
Holiday Inn Mumbai International Airport,4.3,Excellent,2744,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.0 km ,3,6999,,Mumbai,Maharashtra
goSTOPS Mumbai - Rooms & Dorms,3.9,Very Good,1376,,South Mumbai,,,,816,211,Mumbai,Maharashtra
The Regale by Tunga,4.1,Very Good,4946,3,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.6 km ,3.6,4427,932,Mumbai,Maharashtra
"Taj Lands End, Mumbai",4.5,Excellent,4222,5,Bandra West ,Band Stand,230 m ,0.23,11000,,Mumbai,Maharashtra
"Ramada Plaza By Wyndham Palm Grove, Juhu, Mumbai",4.1,Very Good,7206,5,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.8 km ,5.8,7095,2136,Mumbai,Maharashtra
Sahara Star,4.2,Very Good,7303,5,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,760 m ,0.76,10400,1872,Mumbai,Maharashtra
Qubestay Airport Capsule Hostel | Rooms & Dorms,3.8,Very Good,632,,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.6 km ,3.6,1160,341,Mumbai,Maharashtra
Courtyard by Marriott Mumbai International Airport,4.3,Excellent,1829,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.3 km ,3.3,7500,,Mumbai,Maharashtra
The Westin Mumbai Garden City,4.4,Excellent,1431,5,Goregaon ,T1 - Chhatrapati Shivaji International Airport,9.5 km ,9.5,9000,,Mumbai,Maharashtra
JW Marriott Mumbai Juhu,4.4,Excellent,1731,5,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.5 km ,5.5,12500,,Mumbai,Maharashtra
ITC Maratha - A Luxury Collection Hotel,4.4,Excellent,4680,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.4 km ,1.4,10030,,Mumbai,Maharashtra
City Stay,4.6,Excellent,214,,Andheri East ,T1 - Chhatrapati Shivaji International Airport,3.7 km ,3.7,1229,370,Mumbai,Maharashtra
JW Marriott Mumbai Sahar,4.5,Excellent,2139,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.2 km ,1.2,9500,,Mumbai,Maharashtra
Radisson Mumbai Andheri MIDC,4.3,Excellent,3609,5,Andheri East ,T2 - Chhatrapati Shivaji International Airport,4.1 km ,4.1,7000,,Mumbai,Maharashtra
Sofitel Mumbai BKC- Luxury Brand by Accor,4.3,Excellent,2276,5,Bandra Kurla Complex ,T1 - Chhatrapati Shivaji International Airport,7.6 km ,7.6,8550,1539,Mumbai,Maharashtra
The Leela Mumbai,4.5,Excellent,2861,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.7 km ,1.7,10500,,Mumbai,Maharashtra
Novotel Mumbai International Airport,4.4,Excellent,102,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.8 km ,1.8,8299,,Mumbai,Maharashtra
Radisson Blu Mumbai International Airport,4.4,Excellent,2166,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.1 km ,2.1,7499,,Mumbai,Maharashtra
Sun-N-Sand,4.2,Very Good,2353,5,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.8 km ,5.8,8835,2660,Mumbai,Maharashtra
The St. Regis Mumbai,4.5,Excellent,1328,5,South Mumbai ,Tata memorial cancer hospital,640 m ,0.64,12500,,Mumbai,Maharashtra
Niranta Airport Transit Hotel & Lounge Terminal 2 Arrivals/Landside,4,Very Good,1443,4,In Mumbai Airport ,,,,9303,2501,Mumbai,Maharashtra
"Zostel Mumbai
Like a 3",4,Very Good,738,,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.6 km ,3.6,1342,285,Mumbai,Maharashtra
"President, Mumbai - IHCL SeleQtions",4.4,Excellent,2510,5,South Mumbai ,Queen's Necklace - Marine Drive,2.4 km ,2.4,10400,,Mumbai,Maharashtra
Novotel Mumbai Juhu Beach,3.6,Very Good,2306,5,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.6 km ,5.6,8500,,Mumbai,Maharashtra
Ibis Mumbai Airport - An Accor Brand,3.6,Very Good,1990,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,680 m ,0.68,6499,,Mumbai,Maharashtra
"Ginger Mumbai, Andheri (MIDC)",3.4,Good,2721,3,Jogeshwari East ,T2 - Chhatrapati Shivaji International Airport,5.3 km ,5.3,2624,,Mumbai,Maharashtra
Lakeside Chalet Marriott Executive Apartments,4.1,Very Good,362,,Powai ,T2 - Chhatrapati Shivaji International Airport,6.5 km ,6.5,9000,,Mumbai,Maharashtra
"Lemon Tree Hotel, Kalina, Mumbai",3.3,Good,324,4,Bandra Kurla Complex ,T1 - Chhatrapati Shivaji International Airport,6.7 km ,6.7,4975,1806,Mumbai,Maharashtra
Ramee Guestline Hotel Juhu,3.6,Very Good,3162,4,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.7 km ,5.7,5275,1430,Mumbai,Maharashtra
Ramee Techome,4,Very Good,1173,4,Khar West ,T1 - Chhatrapati Shivaji International Airport,5.2 km ,5.2,6231,1273,Mumbai,Maharashtra
Shabana,3.5,Very Good,216,,Colaba ,Gateway Of India Mumbai,1.1 km ,1.1,1304,355,Mumbai,Maharashtra
Hotel Bawa International,4,Very Good,1817,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,810 m ,0.81,5000,,Mumbai,Maharashtra
"Ginger Mumbai, Goregaon",3.8,Very Good,478,4,Goregaon ,T1 - Chhatrapati Shivaji International Airport,8.5 km ,8.5,3224,,Mumbai,Maharashtra
Grand Hyatt Mumbai,4.3,Excellent,1855,5,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,3.7 km ,3.7,10000,,Mumbai,Maharashtra
Hotel Marine Plaza,4.2,Very Good,1292,5,Churchgate ,Queen's Necklace - Marine Drive,270 m ,0.27,9449,1701,Mumbai,Maharashtra
"Lemon Tree Premier, Mumbai International Airport, Mumbai",4.2,Very Good,5001,5,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.3 km ,2.3,3566,1294,Mumbai,Maharashtra
Hotel Airport International,3.7,Very Good,3139,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,780 m ,0.78,3255,770,Mumbai,Maharashtra
Dragonfly Hotel - The Art Hotel,3.5,Very Good,906,4,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.1 km ,3.1,3035,935,Mumbai,Maharashtra
Four Seasons Hotel Mumbai,4.4,Excellent,1863,5,South Mumbai,,,,49000,,Mumbai,Maharashtra
Gateway Inn | Rooms in an Apartment,3.2,Good,356,,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.3 km ,2.3,1839,495,Mumbai,Maharashtra
"The Oberoi, Mumbai",4.7,Excellent,876,5,Marine Drive ,Queen's Necklace - Marine Drive,420 m ,0.42,16750,,Mumbai,Maharashtra
Hotel Jyoti Dwelling,4.2,Very Good,1539,3,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.2 km ,3.2,2232,456,Mumbai,Maharashtra
Indie Stays,3.9,Very Good,1406,3,Bandra Kurla Complex ,T1 - Chhatrapati Shivaji International Airport,5.8 km ,5.8,6975,1425,Mumbai,Maharashtra
Meluha - The Fern,4.4,Excellent,2189,5,Powai ,T2 - Chhatrapati Shivaji International Airport,7.2 km ,7.2,7109,1911,Mumbai,Maharashtra
Afra dormitory,4.8,Excellent,4,,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.3 km ,3.3,848,228,Mumbai,Maharashtra
Hotel Airlink,3.8,Very Good,387,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,950 m ,0.95,3204,798,Mumbai,Maharashtra
The Fern Goregaon,4.2,Very Good,1842,5,Goregaon ,T1 - Chhatrapati Shivaji International Airport,8.9 km ,8.9,7988,2405,Mumbai,Maharashtra
Mirage Hotel,4.1,Very Good,1820,4,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.7 km ,1.7,6126,1251,Mumbai,Maharashtra
"RELOhomes | 1 BHK Apartment
Like a 4",4.6,Excellent,45,,Powai ,T2 - Chhatrapati Shivaji International Airport,7.7 km ,7.7,5721,1420,Mumbai,Maharashtra
Click Hotel Caliph,3.3,Good,834,3,Powai ,T2 - Chhatrapati Shivaji International Airport,5.4 km ,5.4,4500,,Mumbai,Maharashtra
HOTEL LEAFIO MARIGOLD,3.7,Very Good,1387,3,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.2 km ,2.2,3162,748,Mumbai,Maharashtra
"Keys Select by Lemon Tree Hotels, Nestor, Mumbai",3.5,Very Good,1528,3,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.0 km ,3,3623,1288,Mumbai,Maharashtra
Hotel Sea Princess,4.1,Very Good,1762,5,Juhu ,T1 - Chhatrapati Shivaji International Airport,5.6 km ,5.6,7952,2138,Mumbai,Maharashtra
HOTEL WEGO,4.1,Very Good,1335,3,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.2 km ,2.2,3495,1128,Mumbai,Maharashtra
Rodas - An Ecotel Hotel,4.4,Excellent,795,3,Powai ,T2 - Chhatrapati Shivaji International Airport,7.0 km ,7,7998,2150,Mumbai,Maharashtra
The Westin Mumbai Powai Lake,4.3,Excellent,1282,5,Powai ,T2 - Chhatrapati Shivaji International Airport,6.7 km ,6.7,9000,,Mumbai,Maharashtra
Mayura Aureole Co-Living,4.2,Very Good,143,,Goregaon ,T1 - Chhatrapati Shivaji International Airport,8.4 km ,8.4,1496,418,Mumbai,Maharashtra
Sea Green Hotel,3.8,Very Good,1203,3,Churchgate ,Queen's Necklace - Marine Drive,450 m ,0.45,4692,1265,Mumbai,Maharashtra
ibis Mumbai Vikhroli - An Accor Brand,3.9,Very Good,327,4,Vikhroli West ,T2 - Chhatrapati Shivaji International Airport,9.5 km ,9.5,6299,,Mumbai,Maharashtra
Aboo's Concord Galaxy,3.3,Good,798,3,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,1.9 km ,1.9,3228,831,Mumbai,Maharashtra
The Paradise by Tunga,4,Very Good,1202,3,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.4 km ,3.4,5864,1424,Mumbai,Maharashtra
Address Dormitory,4,Very Good,240,,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.2 km ,3.2,404,113,Mumbai,Maharashtra
Arnna Hotel - Goregaon,3.8,Very Good,135,3,Goregaon ,T1 - Chhatrapati Shivaji International Airport,7.9 km ,7.9,2919,830,Mumbai,Maharashtra
Ramee Guestline Hotel - Dadar,4.1,Very Good,774,4,South Mumbai,,,,6814,1612,Mumbai,Maharashtra
Hotel Metro Palace,3.6,Very Good,1167,3,Bandra West ,Band Stand,2.5 km ,2.5,4064,495,Mumbai,Maharashtra
Hotel Manama,3.5,Very Good,1566,3,South Mumbai ,Gateway Of India Mumbai,2.3 km ,2.3,3158,747,Mumbai,Maharashtra
Aashiyana Dormitory,3.1,Good,277,,South Mumbai ,Gateway Of India Mumbai,2.4 km ,2.4,630,176,Mumbai,Maharashtra
T24 Residency,4,Very Good,2465,4,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.0 km ,2,4099,,Mumbai,Maharashtra
"The Taj Mahal Palace, Mumbai",4.7,Excellent,802,5,Colaba ,Gateway Of India Mumbai,280 m ,0.28,27000,,Mumbai,Maharashtra
The Roa Hotel,3.7,Very Good,1300,3,Ghatkopar West ,T2 - Chhatrapati Shivaji International Airport,5.5 km ,5.5,2976,608,Mumbai,Maharashtra
Hotel Leafio,3.5,Very Good,1919,3,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.1 km ,3.1,2199,264,Mumbai,Maharashtra
The Byke Delotel,3.8,Very Good,419,3,Borivali West,,,,3183,903,Mumbai,Maharashtra
The Empresa Hotel,3.8,Very Good,701,4,Andheri West ,T1 - Chhatrapati Shivaji International Airport,7.6 km ,7.6,8099,1458,Mumbai,Maharashtra
HOTEL KOHINOOR PARK,3.8,Very Good,592,3,South Mumbai ,Siddhivinayak Temple,480 m ,0.48,3596,1118,Mumbai,Maharashtra
The Altruist Business Hotel (Andheri),3.6,Very Good,1257,3,Jogeshwari East ,T1 - Chhatrapati Shivaji International Airport,4.5 km ,4.5,2763,711,Mumbai,Maharashtra
Hotel Parle International,3.7,Very Good,3158,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,1.9 km ,1.9,4836,1052,Mumbai,Maharashtra
Ocean Dormitory,3.6,Very Good,67,,Asalpha ,T2 - Chhatrapati Shivaji International Airport,3.7 km ,3.7,925,249,Mumbai,Maharashtra
Hotel Beacon T2,3.2,Good,955,4,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,3.9 km ,3.9,3600,851,Mumbai,Maharashtra
Hotel Columbus,3.6,Very Good,1401,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,1.5 km ,1.5,2608,567,Mumbai,Maharashtra
Sea Green South Hotel,3.9,Very Good,985,3,Churchgate ,Queen's Necklace - Marine Drive,440 m ,0.44,5583,1389,Mumbai,Maharashtra
Hotel Suba International,4.3,Excellent,683,4,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,2.0 km ,2,6700,,Mumbai,Maharashtra
Classic Dormitory,3.8,Very Good,123,,Andheri East ,T2 - Chhatrapati Shivaji International Airport,3.5 km ,3.5,572,145,Mumbai,Maharashtra
The Resort Mumbai,4.2,Very Good,3937,5,Madh,,,,11811,3556,Mumbai,Maharashtra
The Mirador,3.7,Very Good,384,4,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,3.2 km ,3.2,6750,810,Mumbai,Maharashtra
The Sahil Hotel,4.2,Very Good,1587,4,South Mumbai ,Mumbai Central Bus Terminus,610 m ,0.61,4650,1100,Mumbai,Maharashtra
Avion Hotel,3.3,Good,1154,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,1.6 km ,1.6,4205,1033,Mumbai,Maharashtra
Blossom Dormitory ( For Male and Female),3.6,Very Good,214,,Sakinaka ,T2 - Chhatrapati Shivaji International Airport,3.4 km ,3.4,678,189,Mumbai,Maharashtra
Comfort Inn Heritage,3.9,Very Good,963,4,South Mumbai,,,,4743,1122,Mumbai,Maharashtra
Hotel Planet Residency,3.8,Very Good,1064,3,Near Mumbai Airport ,T1 - Chhatrapati Shivaji International Airport,2.2 km ,2.2,3726,1028,Mumbai,Maharashtra
Hotel Kohinoor Elite,4.1,Very Good,2183,4,Near Mumbai Airport ,T2 - Chhatrapati Shivaji International Airport,6.1 km ,6.1,7250,,Mumbai,Maharashtra
Residency Hotel Andheri,4,Very Good,1866,4,Andheri East ,T1 - Chhatrapati Shivaji International Airport,3.2 km ,3.2,4883,1155,Mumbai,Maharashtra
